date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max delta_XC phi_XC Qa E_red Eig_ratio category 
07-Jun-2016 10:51:37 18.363700 -105.173100 10.000000 6.300000 96.824380 305.236350 8.891126 SKS 79.000000 1.538462 41.000000 117.000000 0.410256 3.179487 94396.020821 1.585453 1.351603 1.819302 1.462262 77.236350 0.910678 95.026633 0.268173 average 
07-Jun-2016 19:15:15 1.278900 126.371200 31.000000 6.300000 103.275220 74.008200 8.891126 SKS 87.000000 1.948718 -Inf Inf 0.000000 Inf 30787.474650 -0.632035 -0.920769 -0.343301 0.584905 -56.991800 -0.503385 81.627999 0.060587 poor 
25-Jul-2016 17:26:50 -26.106700 -70.511100 72.000000 6.100000 106.185330 249.083500 8.891126 SKS 121.000000 0.615385 76.000000 153.000000 0.307692 2.153846 4842.726401 -0.588690 -0.659200 -0.518180 0.579189 -65.916500 0.767263 93.261029 0.031644 good 
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 101.247960 48.058970 8.891126 SKS 95.000000 1.435897 80.000000 109.000000 1.128205 1.846154 7568.509463 -1.533463 -1.638341 -1.428584 1.454494 -80.941030 0.871164 98.928617 0.175430 good 
04-Aug-2016 14:15:12 -22.334300 -66.007800 270.000000 6.200000 100.609050 248.875930 8.891126 SKS 109.000000 0.512821 76.000000 151.000000 0.307692 1.846154 3105.935898 -0.499456 -0.564445 -0.434467 0.512115 -65.124070 0.815327 86.949158 0.023673 good 
04-Aug-2016 16:24:33 24.944700 142.014100 510.000000 6.300000 94.127510 47.219030 8.891126 SKS 95.000000 1.743590 80.000000 109.000000 1.230769 2.256410 22943.574997 -1.851103 -2.050339 -1.651867 1.727601 -74.780970 0.678585 97.238787 0.383830 good 
23-Aug-2016 19:39:44 -7.287200 122.434500 533.000000 6.000000 106.828300 83.012520 8.891126 SKS 92.000000 2.256410 -Inf Inf 0.000000 Inf 31880.926685 -0.434065 -0.655710 -0.212420 0.458427 -44.987480 -0.759865 61.245669 0.066620 poor 
18-Feb-2017 12:10:17 -23.861300 -66.659200 222.000000 6.400000 102.113650 248.215720 8.891126 SKS 100.000000 1.128205 80.000000 139.000000 0.512821 2.153846 13355.456096 -0.949223 -1.105298 -0.793148 0.956277 -65.784280 0.503978 85.130399 0.088798 good 
15-Apr-2017 08:19:43 -23.265300 -67.722500 155.000000 6.300000 102.386410 249.352570 8.891126 SKS 133.000000 0.717949 -Inf Inf 0.000000 Inf 39687.494321 -0.550992 -0.641615 -0.460370 0.558085 -67.647430 0.278741 88.053056 0.026211 poor 
10-May-2017 23:23:36 -56.414000 -25.743200 15.000000 6.500000 107.978020 202.868630 8.891126 SKS 170.000000 1.538462 113.000000 21.000000 0.000000 4.000000 82065.848848 1.274433 0.901551 1.647315 1.293063 -28.131370 0.387159 67.461099 0.158656 poor 
12-May-2017 10:41:26 12.918700 -90.061100 16.000000 6.200000 91.725770 290.540180 8.891126 SKS 149.000000 0.410256 -Inf Inf 0.000000 Inf 74244.153817 -0.365734 -0.668045 -0.063423 0.484807 -25.459820 0.721419 17.549193 0.065887 poor 
23-Sep-2017 12:53:01 16.625800 -95.077800 10.000000 6.100000 92.147820 296.621320 8.891126 SKS 95.000000 1.128205 66.000000 107.000000 0.615385 1.948718 832.370885 0.708742 0.587194 0.830290 0.709453 71.621320 0.097036 94.825652 0.068562 good 
10-Oct-2017 06:32:21 -18.571500 -69.752600 85.000000 6.300000 100.425690 254.102860 8.891126 SKS 90.000000 1.230769 79.000000 145.000000 0.410256 3.076923 4900.988536 -0.601931 -0.721806 -0.482055 0.605765 -56.897140 -0.264130 89.455364 0.029526 average 
24-Oct-2017 10:47:47 -7.216800 123.073500 553.810000 6.700000 107.220240 82.485500 8.891126 SKS 89.000000 2.051282 -Inf Inf 0.000000 Inf 68877.178190 -0.278005 -0.588106 0.032097 0.311480 -49.514500 -0.771589 26.416955 0.055238 poor 
14-Jan-2018 09:18:45 -15.767500 -74.709200 39.000000 7.100000 101.824380 259.531510 8.891126 SKS 143.000000 0.717949 -Inf Inf 0.000000 Inf 119679.178662 -0.546187 -0.685116 -0.407258 0.568506 -61.468490 0.176610 79.090901 0.031946 poor 
02-Apr-2018 13:40:34 -20.658800 -63.005800 559.000000 6.800000 97.458270 248.018870 8.891126 SKS 137.000000 0.923077 82.000000 153.000000 0.307692 2.666667 6527.948337 -0.564711 -0.676412 -0.453010 0.586224 -68.981130 0.034068 77.797847 0.033772 average 
24-Aug-2018 09:04:08 -11.035500 -70.828400 630.000000 7.100000 95.808660 260.183420 8.891126 SKS 135.000000 0.410256 85.000000 165.000000 0.205128 1.641026 3466.729608 -0.370779 -0.432540 -0.309019 0.373596 -53.816580 0.695462 75.361877 0.022141 average 
07-Sep-2018 02:12:06 -2.253200 -78.790300 110.500000 6.200000 95.080960 272.007410 8.891126 SKS 179.000000 2.051282 -Inf Inf 0.000000 Inf 2194.933645 -0.133374 -0.195631 -0.071116 0.142599 -45.992590 -0.931564 58.611943 0.003605 null-measurement 
28-Sep-2018 10:02:45 -0.255900 119.846200 20.000000 7.500000 99.967510 79.961710 8.891126 SKS 91.000000 2.153846 84.000000 121.000000 0.512821 4.000000 6875.833613 -0.606581 -0.827867 -0.385295 0.581094 -50.038290 -0.601773 95.217929 0.036641 poor 
01-Nov-2018 22:19:51 -19.582700 -69.265600 102.000000 6.200000 100.812920 253.045780 8.891126 SKS 98.000000 0.923077 85.000000 135.000000 0.512821 1.641026 2716.895045 -0.676901 -0.752343 -0.601459 0.700098 -68.954220 0.466339 95.032974 0.047169 good 
