date time lat lon depth mag dist baz cordeg phase phi delta err_phi_min err_phi_max err_dt_min err_dt_max confidence_level SplitInt SplitInt_err_min SplitInt_err_max category
28-May-2016 09:46:59 -56.240900 -26.935300 78.000000 7.200000 106.615130 202.844160 -13.017804 SKS 110.000000 3.384615 -Inf Inf 0.000000 Inf 4337.779787 -0.087483 -0.203049 0.028083 null-measurement
29-Jul-2016 21:18:24 18.542900 145.507300 196.000000 7.700000 102.727180 47.377840 -13.017804 SKS 141.000000 4.000000 -Inf Inf 0.000000 Inf 11551.059123 0.218923 0.071881 0.365966 poor
19-Aug-2016 07:32:22 -55.285200 -31.876600 10.000000 7.400000 107.256320 205.856620 -13.017804 SKS 110.000000 1.435897 -Inf Inf 0.000000 Inf 12760.740133 -0.262549 -0.432999 -0.092099 poor
10-Jan-2017 06:13:48 4.478200 122.617100 627.170000 7.300000 99.500230 74.048470 -13.017804 SKS 22.000000 1.128205 170.000000 66.000000 0.307692 3.076923 19190.046328 1.039955 0.820573 1.259337 average
24-Oct-2017 10:47:47 -7.216800 123.073500 553.810000 6.700000 108.173060 82.093680 -13.017804 SKS 10.000000 1.538462 -Inf Inf 0.000000 Inf 109932.966146 0.672487 0.213577 1.131396 poor
24-Aug-2018 09:04:08 -11.035500 -70.828400 630.000000 7.100000 94.809310 259.297190 -13.017804 SKS 167.000000 3.794872 -Inf Inf 0.000000 Inf 9670.745692 0.061985 -0.065918 0.189887 null-measurement
28-Sep-2018 10:02:45 -0.255900 119.846200 20.000000 7.500000 100.974860 79.397260 -13.017804 SKS 54.000000 1.025641 171.000000 78.000000 0.102564 4.000000 18480.660957 0.749298 0.587788 0.910809 poor
11-Dec-2018 02:26:29 -58.544600 -26.385600 133.000000 7.100000 108.467870 201.368760 -13.017804 SKS 110.000000 4.000000 -Inf Inf 0.000000 Inf 16253.650167 -0.063688 -0.245182 0.117807 null-measurement
05-Jan-2019 19:25:38 -8.144000 -71.587000 570.410000 6.800000 93.323930 261.884150 -13.017804 SKS 178.000000 4.000000 -Inf Inf 0.000000 Inf 36368.234873 0.118374 -0.211106 0.447854 null-measurement
01-Mar-2019 08:50:42 -14.713100 -70.154600 267.000000 7.000000 96.903240 256.200720 -13.017804 SKS 59.000000 0.820513 -Inf Inf 0.000000 Inf 8855.321300 0.426358 0.279642 0.573075 poor
24-Jun-2019 02:53:39 -6.407800 129.169200 212.000000 7.300000 111.881720 76.923110 -13.017804 SKS 35.000000 0.717949 -Inf Inf 0.000000 Inf 27612.443113 0.658292 0.465529 0.851055 poor
07-Jul-2019 15:08:40 0.512600 126.189200 35.000000 6.900000 104.831960 74.165840 -13.017804 SKS 17.000000 0.820513 -Inf Inf 0.000000 Inf 340752.916462 0.704870 0.369261 1.040479 poor
14-Nov-2019 16:17:40 1.621300 126.415600 33.000000 7.100000 104.180230 73.215600 -13.017804 SKS 30.000000 0.717949 172.000000 64.000000 0.307692 1.846154 8995.184432 0.701726 0.586194 0.817258 good
